model,trade_id,date,timestamp,signal_timestamp,source_timestamp,price_source_timestamp,action,order_side,direction,price,upper,lower,noise_sigma,noise_count,vwap_approx,long_stop,short_stop,shares,sizing_leverage,execution_notional_leverage,gross_pnl,commission,slippage,costs,net_pnl,reason
A,1,2025-04-02,2025-04-02 11:30:00,2025-04-02 11:30:00,2025-04-02 11:00:00,2025-04-02 11:00:00,ENTRY,BUY,1,560.0867,559.5486438128803,553.6124659559202,0.003189207828893267,14.0,557.4300935790885,559.5486438128803,553.6124659559202,180,1.0,1.00815606,0.0,0.63,0.18,0.81,-0.81,breakout_or_reverse
A,1,2025-04-02,2025-04-02 16:00:00,2025-04-02 16:00:00,2025-04-02 15:30:00,2025-04-02 16:00:00,EXIT,SELL,1,561.2997,561.221472360193,551.9467936515535,0.006188345730071757,14.0,559.6985848778005,561.221472360193,551.9467936515535,180,1.0,1.0103394600000002,218.34000000001424,0.63,0.18,0.81,217.53000000001424,session_close
A,2,2025-04-03,2025-04-03 10:30:00,2025-04-03 10:30:00,2025-04-03 10:00:00,2025-04-03 10:00:00,ENTRY,SELL,-1,539.8726,562.4234100693784,539.9576542499208,0.002002335775069229,14.0,540.5717226977987,562.4234100693784,539.9576542499208,185,1.0,0.9966044687952269,0.0,0.6475,0.185,0.8325,-0.8325,breakout_or_reverse
A,2,2025-04-03,2025-04-03 16:00:00,2025-04-03 16:00:00,2025-04-03 15:30:00,2025-04-03 16:00:00,EXIT,BUY,-1,533.6384,564.9584280874507,537.5141304564454,0.006518673341862592,14.0,537.86789182791,564.9584280874507,537.5141304564454,185,1.0,0.9850961396461587,1153.3269999999975,0.6475,0.185,0.8325,1152.4944999999975,session_close
A,3,2025-04-04,2025-04-04 10:30:00,2025-04-04 10:30:00,2025-04-04 10:00:00,2025-04-04 10:00:00,ENTRY,SELL,-1,513.2007,534.7886100288687,518.855841032859,0.0021557865026691375,14.0,517.5088611977078,534.7886100288687,517.5088611977078,194,1.0,0.9821695269832755,0.0,0.679,0.194,0.873,-0.873,breakout_or_reverse
A,3,2025-04-04,2025-04-04 16:00:00,2025-04-04 16:00:00,2025-04-04 15:30:00,2025-04-04 16:00:00,EXIT,BUY,-1,502.3976,537.2345141577412,516.4725532509161,0.0067392367295691724,14.0,509.55477975160295,537.2345141577412,509.55477975160295,194,1.0,0.961494427325475,2095.801399999995,0.679,0.194,0.873,2094.928399999995,session_close
A,4,2025-04-07,2025-04-07 14:00:00,2025-04-07 14:00:00,2025-04-07 13:30:00,2025-04-07 13:30:00,ENTRY,BUY,1,506.3052,505.0971760550519,489.9716706280815,0.0053735857663542485,14.0,496.595235738486,505.0971760550519,489.9716706280815,210,1.0,1.027658874775359,0.0,0.735,0.21,0.945,-0.945,breakout_or_reverse
A,4,2025-04-07,2025-04-07 16:00:00,2025-04-07 16:00:00,2025-04-07 15:30:00,2025-04-07 16:00:00,EXIT,SELL,1,501.5028,506.88636098304323,488.2173105203876,0.008934879220225424,14.0,497.4485562703862,506.88636098304323,488.2173105203876,210,1.0,1.0179113371632205,-1008.5040000000072,0.735,0.21,0.945,-1009.4490000000072,session_close
A,5,2025-04-08,2025-04-08 15:30:00,2025-04-08 15:30:00,2025-04-08 15:00:00,2025-04-08 15:00:00,ENTRY,SELL,-1,494.4271,524.0827677795579,497.61978181230666,0.007742369008043711,14.0,507.39754010307473,524.0827677795579,497.61978181230666,197,1.0,0.9507095755983722,0.0,0.6895,0.197,0.8865000000000001,-0.8865000000000001,breakout_or_reverse
A,5,2025-04-08,2025-04-08 16:00:00,2025-04-08 16:00:00,2025-04-08 15:30:00,2025-04-08 16:00:00,EXIT,BUY,-1,493.6479,525.3552070462947,496.39273850832075,0.010189102691948575,14.0,504.2758048834844,525.3552070462947,496.39273850832075,197,1.0,0.9492112902064384,153.5024000000006,0.6895,0.197,0.8865000000000001,152.61590000000058,session_close
