model,date,timestamp,direction,held_shares,equity_marked,marked_leverage
A,2025-04-02,2025-04-02 10:00:00,0,0,100000.0,0.0
A,2025-04-02,2025-04-02 10:30:00,0,0,100000.0,0.0
A,2025-04-02,2025-04-02 11:00:00,0,0,100000.0,0.0
A,2025-04-02,2025-04-02 11:30:00,1,180,99999.19,1.0081642261302315
A,2025-04-02,2025-04-02 12:00:00,1,180,99827.38000000002,1.0081782773423482
A,2025-04-02,2025-04-02 12:30:00,1,180,100181.74600000001,1.0081493488843767
A,2025-04-02,2025-04-02 13:00:00,1,180,100426.042,1.0081295248099091
A,2025-04-02,2025-04-02 13:30:00,1,180,100486.00000000001,1.0081246740839518
A,2025-04-02,2025-04-02 14:00:00,1,180,100099.41400000002,1.0081560517427204
A,2025-04-02,2025-04-02 14:30:00,1,180,99587.54800000001,1.0081979727023704
A,2025-04-02,2025-04-02 15:00:00,1,180,99644.82400000002,1.008193260494895
A,2025-04-02,2025-04-02 15:30:00,1,180,99927.604,1.0081700748073574
A,2025-04-02,2025-04-02 16:00:00,0,0,100216.72000000002,0.0
A,2025-04-03,2025-04-03 10:00:00,0,0,100216.72000000002,0.0
A,2025-04-03,2025-04-03 10:30:00,-1,-185,100215.88750000001,0.9966127476544075
A,2025-04-03,2025-04-03 11:00:00,-1,-185,100736.44050000001,0.9862953019468659
A,2025-04-03,2025-04-03 11:30:00,-1,-185,100456.85000000002,0.9918235391613412
A,2025-04-03,2025-04-03 12:00:00,-1,-185,100100.00350000002,0.9989241908468063
A,2025-04-03,2025-04-03 12:30:00,-1,-185,99665.88250000002,1.0076310316120463
A,2025-04-03,2025-04-03 13:00:00,-1,-185,100131.2685,0.9983000465034556
A,2025-04-03,2025-04-03 13:30:00,-1,-185,100373.15600000002,0.9934843784328151
A,2025-04-03,2025-04-03 14:00:00,-1,-185,100416.37200000002,0.992626446412543
A,2025-04-03,2025-04-03 14:30:00,-1,-185,100625.16300000002,0.9884918695734186
A,2025-04-03,2025-04-03 15:00:00,-1,-185,100431.09800000003,0.9923342718009512
A,2025-04-03,2025-04-03 15:30:00,-1,-185,100911.19150000002,0.9828555735564769
A,2025-04-03,2025-04-03 16:00:00,0,0,101368.38200000001,0.0
A,2025-04-04,2025-04-04 10:00:00,0,0,101368.38200000001,0.0
A,2025-04-04,2025-04-04 10:30:00,-1,-194,101367.509,0.9821779856502145
A,2025-04-04,2025-04-04 11:00:00,-1,-194,101545.9502,0.9786948116026393
A,2025-04-04,2025-04-04 11:30:00,-1,-194,101329.89240000001,0.9829138277067784
A,2025-04-04,2025-04-04 12:00:00,-1,-194,101571.015,0.9782065267340294
A,2025-04-04,2025-04-04 12:30:00,-1,-194,102111.1498,0.967742457053402
A,2025-04-04,2025-04-04 13:00:00,-1,-194,102172.8418,0.9665543334236595
A,2025-04-04,2025-04-04 13:30:00,-1,-194,102383.0796,0.9625161265416752
A,2025-04-04,2025-04-04 14:00:00,-1,-194,101636.6064,0.9769298869467173
A,2025-04-04,2025-04-04 14:30:00,-1,-194,102769.8574,0.9551301313764401
A,2025-04-04,2025-04-04 15:00:00,-1,-194,102940.558,0.9518880478576771
A,2025-04-04,2025-04-04 15:30:00,-1,-194,102504.62060000001,0.9601891468295429
A,2025-04-04,2025-04-04 16:00:00,0,0,103462.4374,0.0
A,2025-04-07,2025-04-07 10:00:00,0,0,103462.4374,0.0
A,2025-04-07,2025-04-07 10:30:00,0,0,103462.4374,0.0
A,2025-04-07,2025-04-07 11:00:00,0,0,103462.4374,0.0
A,2025-04-07,2025-04-07 11:30:00,0,0,103462.4374,0.0
A,2025-04-07,2025-04-07 12:00:00,0,0,103462.4374,0.0
A,2025-04-07,2025-04-07 12:30:00,0,0,103462.4374,0.0
A,2025-04-07,2025-04-07 13:00:00,0,0,103462.4374,0.0
