model,trade_id,date,timestamp,signal_timestamp,source_timestamp,price_source_timestamp,action,order_side,direction,price,upper,lower,noise_sigma,noise_count,vwap_approx,long_stop,short_stop,shares,sizing_leverage,execution_notional_leverage,gross_pnl,commission,slippage,costs,net_pnl,reason
B,1,2025-04-02,2025-04-02 11:30:00,2025-04-02 11:30:00,2025-04-02 11:00:00,2025-04-02 11:00:00,ENTRY,BUY,1,560.0867,559.5486438128803,553.6124659559202,0.003189207828893267,14.0,557.4300935790885,559.5486438128803,553.6124659559202,180,1.0,1.00815606,0.0,0.63,0.18,0.81,-0.81,entry
B,1,2025-04-02,2025-04-02 12:00:00,2025-04-02 12:00:00,2025-04-02 11:30:00,2025-04-02 11:30:00,EXIT,SELL,1,559.1322,560.00378763003,553.1592692120294,0.004005214391367061,14.0,557.7299880351084,560.00378763003,553.1592692120294,180,1.0,1.00643796,-171.80999999998903,0.63,0.18,0.81,-172.61999999998903,stop_or_reverse
B,2,2025-04-02,2025-04-02 12:30:00,2025-04-02 12:30:00,2025-04-02 12:00:00,2025-04-02 12:00:00,ENTRY,BUY,1,561.1009,559.9278813759963,553.2348507444435,0.0038691255352946313,14.0,558.1063537794519,559.9278813759963,553.2348507444435,180,1.0,1.00998162,0.0,0.63,0.18,0.81,-0.81,entry
B,2,2025-04-02,2025-04-02 14:30:00,2025-04-02 14:30:00,2025-04-02 14:00:00,2025-04-02 14:00:00,EXIT,SELL,1,557.7998,560.2143381392553,552.9496194230833,0.004382700783110228,14.0,559.3122613011135,560.2143381392553,552.9496194230833,180,1.0,1.00403964,-594.1980000000035,0.63,0.18,0.81,-595.0080000000034,stop_or_reverse
B,3,2025-04-03,2025-04-03 10:30:00,2025-04-03 10:30:00,2025-04-03 10:00:00,2025-04-03 10:00:00,ENTRY,SELL,-1,539.8726,562.4234100693784,539.9576542499208,0.002002335775069229,14.0,540.5717226977987,562.4234100693784,539.9576542499208,183,1.0,0.995625688697794,0.0,0.6405,0.183,0.8234999999999999,-0.8234999999999999,entry
B,3,2025-04-03,2025-04-03 12:00:00,2025-04-03 12:00:00,2025-04-03 11:30:00,2025-04-03 11:30:00,EXIT,BUY,-1,540.499,563.6589550206911,538.766702759668,0.00420355803041182,14.0,539.6940927775981,563.6589550206911,538.766702759668,183,1.0,0.9967808870379214,-114.6311999999981,0.6405,0.183,0.8234999999999999,-115.45469999999811,stop_or_reverse
B,4,2025-04-03,2025-04-03 14:30:00,2025-04-03 14:30:00,2025-04-03 14:00:00,2025-04-03 14:00:00,ENTRY,SELL,-1,537.6603,563.8129342915538,538.6182809301691,0.004477884429887891,14.0,539.7735395568516,563.8129342915538,538.6182809301691,183,1.0,0.9915457951986496,0.0,0.6405,0.183,0.8234999999999999,-0.8234999999999999,entry
B,4,2025-04-03,2025-04-03 15:00:00,2025-04-03 15:00:00,2025-04-03 14:30:00,2025-04-03 14:30:00,EXIT,BUY,-1,538.7093,564.3898050739659,538.062230648658,0.005505625916228218,14.0,539.697693686592,564.3898050739659,538.062230648658,183,1.0,0.9934803466973624,-191.966999999996,0.6405,0.183,0.8234999999999999,-192.790499999996,stop_or_reverse
B,5,2025-04-03,2025-04-03 15:30:00,2025-04-03 15:30:00,2025-04-03 15:00:00,2025-04-03 15:00:00,ENTRY,SELL,-1,536.1142,564.5239434345253,537.9329336285548,0.005744604145425737,14.0,539.37496063551,564.5239434345253,537.9329336285548,183,1.0,0.9886944986570292,0.0,0.6405,0.183,0.8234999999999999,-0.8234999999999999,entry
B,5,2025-04-03,2025-04-03 16:00:00,2025-04-03 16:00:00,2025-04-03 15:30:00,2025-04-03 16:00:00,EXIT,BUY,-1,533.6384,564.9584280874507,537.5141304564454,0.006518673341862592,14.0,537.86789182791,564.9584280874507,537.5141304564454,183,1.0,0.9841286620502484,453.0713999999882,0.6405,0.183,0.8234999999999999,452.24789999998825,session_close
B,6,2025-04-04,2025-04-04 10:30:00,2025-04-04 10:30:00,2025-04-04 10:00:00,2025-04-04 10:00:00,ENTRY,SELL,-1,513.2007,534.7886100288687,518.855841032859,0.0021557865026691375,14.0,517.5088611977078,534.7886100288687,517.5088611977078,191,1.0,0.9864051580289629,0.0,0.6685,0.191,0.8594999999999999,-0.8594999999999999,entry
B,6,2025-04-04,2025-04-04 16:00:00,2025-04-04 16:00:00,2025-04-04 15:30:00,2025-04-04 16:00:00,EXIT,BUY,-1,502.3976,537.2345141577412,516.4725532509161,0.0067392367295691724,14.0,509.55477975160295,537.2345141577412,509.55477975160295,191,1.0,0.9656408964784571,2063.3920999999946,0.6685,0.191,0.8594999999999999,2062.5325999999945,session_close
B,7,2025-04-07,2025-04-07 14:00:00,2025-04-07 14:00:00,2025-04-07 13:30:00,2025-04-07 13:30:00,ENTRY,BUY,1,506.3052,505.0971760550519,489.9716706280815,0.0053735857663542485,14.0,496.595235738486,505.0971760550519,489.9716706280815,205,1.0,1.0232526538723539,0.0,0.7175,0.20500000000000002,0.9225000000000001,-0.9225000000000001,entry
B,7,2025-04-07,2025-04-07 14:30:00,2025-04-07 14:30:00,2025-04-07 14:00:00,2025-04-07 14:00:00,EXIT,SELL,1,502.2883,505.3890151444082,489.6855119151266,0.005954478564101536,14.0,496.84862268091274,505.3890151444082,489.6855119151266,205,1.0,1.0151344208671629,-823.4645000000044,0.7175,0.20500000000000002,0.9225000000000001,-824.3870000000044,stop_or_reverse
B,8,2025-04-08,2025-04-08 15:30:00,2025-04-08 15:30:00,2025-04-08 15:00:00,2025-04-08 15:00:00,ENTRY,SELL,-1,494.4271,524.0827677795579,497.61978181230666,0.007742369008043711,14.0,507.39754010307473,524.0827677795579,497.61978181230666,193,1.0,0.9484714523715129,0.0,0.6755,0.193,0.8685,-0.8685,entry
B,8,2025-04-08,2025-04-08 16:00:00,2025-04-08 16:00:00,2025-04-08 15:30:00,2025-04-08 16:00:00,EXIT,BUY,-1,493.6479,525.3552070462947,496.39273850832075,0.010189102691948575,14.0,504.2758048834844,525.3552070462947,496.39273850832075,193,1.0,0.9469766941843345,150.38560000000058,0.6755,0.193,0.8685,149.51710000000057,session_close
B,9,2025-04-09,2025-04-09 11:00:00,2025-04-09 11:00:00,2025-04-09 10:30:00,2025-04-09 10:30:00,ENTRY,SELL,-1,490.317,500.5681753822103,490.4499849853459,0.0064775256977935925,14.0,495.30708028363483,500.5681753822103,490.4499849853459,202,1.0,0.9829961455774038,0.0,0.707,0.202,0.909,-0.909,entry
B,9,2025-04-09,2025-04-09 11:30:00,2025-04-09 11:30:00,2025-04-09 11:00:00,2025-04-09 11:00:00,EXIT,BUY,-1,495.3581,500.07817236509925,490.93634362012824,0.005492291221251325,14.0,495.31457667878016,500.07817236509925,490.93634362012824,202,1.0,0.9931026315231699,-1018.3021999999943,0.707,0.202,0.909,-1019.2111999999943,stop_or_reverse
B,10,2025-04-09,2025-04-09 13:30:00,2025-04-09 13:30:00,2025-04-09 13:00:00,2025-04-09 13:00:00,ENTRY,BUY,1,521.7765,502.4745092251854,488.5578294415391,0.010310534394294382,14.0,506.479169991323,506.479169991323,488.5578294415391,202,1.0,1.046066704505184,0.0,0.707,0.202,0.909,-0.909,entry
B,10,2025-04-09,2025-04-09 16:00:00,2025-04-09 16:00:00,2025-04-09 15:30:00,2025-04-09 16:00:00,EXIT,SELL,1,545.4904,504.02787899137746,487.0160128150793,0.013433848731201554,14.0,523.881491990171,523.881491990171,487.0160128150793,202,1.0,1.0936087483188963,4790.207799999993,0.707,0.202,0.909,4789.298799999992,session_close
B,11,2025-04-10,2025-04-10 11:30:00,2025-04-10 11:30:00,2025-04-10 11:00:00,2025-04-10 11:00:00,ENTRY,SELL,-1,520.812,548.4838084258131,523.0003757266757,0.0054879233867320175,14.0,524.3210843454102,548.4838084258131,523.0003757266757,198,1.0,0.986560321519809,0.0,0.6930000000000001,0.198,0.891,-0.891,entry
B,11,2025-04-10,2025-04-10 14:00:00,2025-04-10 14:00:00,2025-04-10 13:30:00,2025-04-10 13:30:00,EXIT,BUY,-1,521.1998,553.2931272933606,518.3638939242406,0.014304431671477633,14.0,518.3352502897887,553.2931272933606,518.3352502897887,198,1.0,0.9872949207469494,-76.7843999999941,0.6930000000000001,0.198,0.891,-77.67539999999408,stop_or_reverse
B,12,2025-04-11,2025-04-11 10:30:00,2025-04-11 10:30:00,2025-04-11 10:00:00,2025-04-11 10:00:00,ENTRY,SELL,-1,517.5607,523.827645402225,519.9078548290978,0.0032198735876088663,14.0,519.9948656361954,523.827645402225,519.9078548290978,200,1.0,0.9910494355646384,0.0,0.7000000000000001,0.2,0.9000000000000001,-0.9000000000000001,entry
B,12,2025-04-11,2025-04-11 11:00:00,2025-04-11 11:00:00,2025-04-11 10:30:00,2025-04-11 10:30:00,EXIT,BUY,-1,519.937,525.9363475694905,517.801410602099,0.007258400267607997,14.0,519.9820237247477,525.9363475694905,517.801410602099,200,1.0,0.9955996859482791,-475.26000000000295,0.7000000000000001,0.2,0.9000000000000001,-476.1600000000029,stop_or_reverse
B,13,2025-04-11,2025-04-11 13:00:00,2025-04-11 13:00:00,2025-04-11 12:30:00,2025-04-11 12:30:00,ENTRY,BUY,1,528.7863,526.6612755002227,517.0772589042513,0.008646761713233435,14.0,521.7901951432314,526.6612755002227,517.0772589042513,200,1.0,1.0125447394852691,0.0,0.7000000000000001,0.2,0.9000000000000001,-0.9000000000000001,entry
B,13,2025-04-11,2025-04-11 13:30:00,2025-04-11 13:30:00,2025-04-11 13:00:00,2025-04-11 13:00:00,EXIT,SELL,1,526.8027,529.7982163337922,513.9436770206238,0.014654541970972514,14.0,522.2039647912202,529.7982163337922,513.9436770206238,200,1.0,1.0087464494288836,-396.7200000000048,0.7000000000000001,0.2,0.9000000000000001,-397.6200000000048,stop_or_reverse
B,14,2025-04-11,2025-04-11 14:00:00,2025-04-11 14:00:00,2025-04-11 13:30:00,2025-04-11 13:30:00,ENTRY,BUY,1,531.6697,529.7503288104231,513.9915132673503,0.01456282914221597,14.0,523.4489113221409,529.7503288104231,513.9915132673503,200,1.0,1.0180660086668494,0.0,0.7000000000000001,0.2,0.9000000000000001,-0.9000000000000001,entry
B,14,2025-04-11,2025-04-11 15:00:00,2025-04-11 15:00:00,2025-04-11 14:30:00,2025-04-11 14:30:00,EXIT,SELL,1,529.1342,529.6838798508783,514.0578910751775,0.0144355679764875,14.0,524.241350862657,529.6838798508783,514.0578910751775,200,1.0,1.0132109146771509,-507.100000000014,0.7000000000000001,0.2,0.9000000000000001,-508.000000000014,stop_or_reverse
B,15,2025-04-11,2025-04-11 15:30:00,2025-04-11 15:30:00,2025-04-11 15:00:00,2025-04-11 15:00:00,ENTRY,BUY,1,531.441,531.0477206393167,512.6955106499337,0.01704755723551241,14.0,524.7900082931432,531.0477206393167,512.6955106499337,200,1.0,1.017628083210157,0.0,0.7000000000000001,0.2,0.9000000000000001,-0.9000000000000001,entry
B,15,2025-04-11,2025-04-11 16:00:00,2025-04-11 16:00:00,2025-04-11 15:30:00,2025-04-11 16:00:00,EXIT,SELL,1,530.8942,532.7325785282956,511.01245686042915,0.02027434935545952,14.0,525.9187586862336,532.7325785282956,511.01245686042915,200,1.0,1.0165810449953798,-109.36000000001513,0.7000000000000001,0.2,0.9000000000000001,-110.26000000001514,session_close
B,16,2025-04-21,2025-04-21 11:30:00,2025-04-21 11:30:00,2025-04-21 11:00:00,2025-04-21 11:00:00,ENTRY,SELL,-1,510.1432,526.918230265316,510.9874345189434,0.006708605227244892,14.0,512.4407686930335,526.918230265316,510.9874345189434,200,1.0,0.991037324775651,0.0,0.7000000000000001,0.2,0.9000000000000001,-0.9000000000000001,entry
B,16,2025-04-21,2025-04-21 13:30:00,2025-04-21 13:30:00,2025-04-21 13:00:00,2025-04-21 13:00:00,EXIT,BUY,-1,507.0013,531.118871139768,506.85876940093317,0.014734179354089565,14.0,510.3065338954169,531.118871139768,506.85876940093317,200,1.0,0.9849336657036246,628.3799999999928,0.7000000000000001,0.2,0.9000000000000001,627.4799999999927,stop_or_reverse
B,17,2025-04-21,2025-04-21 14:00:00,2025-04-21 14:00:00,2025-04-21 13:30:00,2025-04-21 13:30:00,ENTRY,SELL,-1,506.0935,531.524967380523,506.4596314041677,0.015510050365257044,14.0,510.0111895463778,531.524967380523,506.4596314041677,200,1.0,0.9831701144430542,0.0,0.7000000000000001,0.2,0.9000000000000001,-0.9000000000000001,entry
