model,date,timestamp,direction,held_shares,equity_marked,marked_leverage
B,2025-04-02,2025-04-02 10:00:00,0,0,100000.0,0.0
B,2025-04-02,2025-04-02 10:30:00,0,0,100000.0,0.0
B,2025-04-02,2025-04-02 11:00:00,0,0,100000.0,0.0
B,2025-04-02,2025-04-02 11:30:00,1,180,99999.19,1.0081642261302315
B,2025-04-02,2025-04-02 12:00:00,0,0,99826.57,0.0
B,2025-04-02,2025-04-02 12:30:00,1,180,99825.76000000001,1.0117444835882041
B,2025-04-02,2025-04-02 13:00:00,1,180,100070.056,1.0117158123704857
B,2025-04-02,2025-04-02 13:30:00,1,180,100130.01400000001,1.011708796924766
B,2025-04-02,2025-04-02 14:00:00,1,180,99743.42800000001,1.0117541779293968
B,2025-04-02,2025-04-02 14:30:00,0,0,99230.75200000001,0.0
B,2025-04-02,2025-04-02 15:00:00,0,0,99230.75200000001,0.0
B,2025-04-02,2025-04-02 15:30:00,0,0,99230.75200000001,0.0
B,2025-04-02,2025-04-02 16:00:00,0,0,99230.75200000001,0.0
B,2025-04-03,2025-04-03 10:00:00,0,0,99230.75200000001,0.0
B,2025-04-03,2025-04-03 10:30:00,-1,-183,99229.92850000001,0.9956339513033107
B,2025-04-03,2025-04-03 11:00:00,-1,-183,99744.85390000002,0.9853316392496113
B,2025-04-03,2025-04-03 11:30:00,-1,-183,99468.28600000001,0.9908517806368957
B,2025-04-03,2025-04-03 12:00:00,0,0,99114.4738,0.0
B,2025-04-03,2025-04-03 12:30:00,0,0,99114.4738,0.0
B,2025-04-03,2025-04-03 13:00:00,0,0,99114.4738,0.0
B,2025-04-03,2025-04-03 13:30:00,0,0,99114.4738,0.0
B,2025-04-03,2025-04-03 14:00:00,0,0,99114.4738,0.0
B,2025-04-03,2025-04-03 14:30:00,-1,-183,99113.65030000001,0.9927172957729314
B,2025-04-03,2025-04-03 15:00:00,0,0,98920.8598,0.0
B,2025-04-03,2025-04-03 15:30:00,-1,-183,98920.0363,0.9918000666969022
B,2025-04-03,2025-04-03 16:00:00,0,0,99372.2842,0.0
B,2025-04-04,2025-04-04 10:00:00,0,0,99372.2842,0.0
B,2025-04-04,2025-04-04 10:30:00,-1,-191,99371.42469999999,0.9864136898099642
B,2025-04-04,2025-04-04 11:00:00,-1,-191,99547.1065,0.9829080456497247
B,2025-04-04,2025-04-04 11:30:00,-1,-191,99334.38979999999,0.9871542856147891
B,2025-04-04,2025-04-04 12:00:00,-1,-191,99571.78369999999,0.9824166150796797
B,2025-04-04,2025-04-04 12:30:00,-1,-191,100103.56589999999,0.9718853831559663
B,2025-04-04,2025-04-04 13:00:00,-1,-191,100164.30389999998,0.97068966402511
B,2025-04-04,2025-04-04 13:30:00,-1,-191,100371.29059999998,0.9666256876844425
B,2025-04-04,2025-04-04 14:00:00,-1,-191,99636.36079999998,0.9811317556672545
B,2025-04-04,2025-04-04 14:30:00,-1,-191,100752.08729999998,0.9591927441884375
B,2025-04-04,2025-04-04 15:00:00,-1,-191,100920.14819999998,0.9559301281327292
B,2025-04-04,2025-04-04 15:30:00,-1,-191,100490.9521,0.9642838909872364
B,2025-04-04,2025-04-04 16:00:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 10:00:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 10:30:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 11:00:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 11:30:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 12:00:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 12:30:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 13:00:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 13:30:00,0,0,101433.95729999998,0.0
B,2025-04-07,2025-04-07 14:00:00,1,205,101433.03479999998,1.0232619600177832
B,2025-04-07,2025-04-07 14:30:00,0,0,100608.64779999998,0.0
B,2025-04-07,2025-04-07 15:00:00,0,0,100608.64779999998,0.0
B,2025-04-07,2025-04-07 15:30:00,0,0,100608.64779999998,0.0
B,2025-04-07,2025-04-07 16:00:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 10:00:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 10:30:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 11:00:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 11:30:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 12:00:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 12:30:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 13:00:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 13:30:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 14:00:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 14:30:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 15:00:00,0,0,100608.64779999998,0.0
B,2025-04-08,2025-04-08 15:30:00,-1,-193,100607.77929999998,0.948479640082862
B,2025-04-08,2025-04-08 16:00:00,0,0,100757.29639999998,0.0
B,2025-04-09,2025-04-09 10:00:00,0,0,100757.29639999998,0.0
B,2025-04-09,2025-04-09 10:30:00,0,0,100757.29639999998,0.0
B,2025-04-09,2025-04-09 11:00:00,-1,-202,100756.38739999998,0.9830050139332409
B,2025-04-09,2025-04-09 11:30:00,0,0,99737.17619999999,0.0
B,2025-04-09,2025-04-09 12:00:00,0,0,99737.17619999999,0.0
