model,trade_id,date,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,shares,sizing_leverage,entry_equity,gross_pnl,costs,net_pnl,return_on_entry_notional,return_on_start_equity,pnl_per_share,exit_reason
B,1,2025-04-02,2025-04-02 11:30:00,2025-04-02 12:00:00,1,560.0867,559.1322,180,1.0,100000.0,-171.80999999998903,1.6199999999999999,-173.42999999998904,-0.0017202693797227094,-0.0017342999999998903,-0.9634999999999391,stop_or_reverse
B,2,2025-04-02,2025-04-02 12:30:00,2025-04-02 14:30:00,1,561.1009,557.7998,180,1.0,100000.0,-594.1980000000035,1.6199999999999999,-595.8180000000034,-0.005899295474307773,-0.005958180000000034,-3.310100000000019,stop_or_reverse
B,3,2025-04-03,2025-04-03 10:30:00,2025-04-03 12:00:00,-1,539.8726,540.499,183,1.0,99230.75200000001,-114.6311999999981,1.647,-116.27819999999811,-0.0011769443383494358,-0.0011717960174281266,-0.6353999999999896,stop_or_reverse
B,4,2025-04-03,2025-04-03 14:30:00,2025-04-03 15:00:00,-1,537.6603,538.7093,183,1.0,99230.75200000001,-191.966999999996,1.647,-193.613999999996,-0.001967785235398593,-0.0019511491760134598,-1.057999999999978,stop_or_reverse
B,5,2025-04-03,2025-04-03 15:30:00,2025-04-03 16:00:00,-1,536.1142,533.6384,183,1.0,99230.75200000001,453.0713999999882,1.647,451.4243999999882,0.004601258463215367,0.004549238929480129,2.4667999999999357,session_close
B,6,2025-04-04,2025-04-04 10:30:00,2025-04-04 16:00:00,-1,513.2007,502.3976,191,1.0,99372.2842,2063.3920999999946,1.719,2061.6730999999945,0.02103290194265123,0.020746962964548567,10.794099999999972,session_close
B,7,2025-04-07,2025-04-07 14:00:00,2025-04-07 14:30:00,1,506.3052,502.2883,205,1.0,101433.95729999998,-823.4645000000044,1.8450000000000002,-825.3095000000044,-0.007951528050669876,-0.008136422180188415,-4.025900000000021,stop_or_reverse
B,8,2025-04-08,2025-04-08 15:30:00,2025-04-08 16:00:00,-1,494.4271,493.6479,193,1.0,100608.64779999998,150.38560000000058,1.737,148.64860000000056,0.0015577625093770202,0.0014774932697187149,0.7702000000000029,session_close
B,9,2025-04-09,2025-04-09 11:00:00,2025-04-09 11:30:00,-1,490.317,495.3581,202,1.0,100757.29639999998,-1018.3021999999943,1.818,-1020.1201999999943,-0.010299663279062263,-0.010124529304063329,-5.050099999999972,stop_or_reverse
B,10,2025-04-09,2025-04-09 13:30:00,2025-04-09 16:00:00,1,521.7765,545.4904,202,1.0,100757.29639999998,4790.207799999993,1.818,4788.389799999993,0.045431137661431586,0.0475240004554151,23.704899999999963,session_close
B,11,2025-04-10,2025-04-10 11:30:00,2025-04-10 14:00:00,-1,520.812,521.1998,198,1.0,104525.56599999998,-76.7843999999941,1.782,-78.56639999999409,-0.0007618872068999373,-0.0007516476878010314,-0.3967999999999702,stop_or_reverse
B,12,2025-04-11,2025-04-11 10:30:00,2025-04-11 11:00:00,-1,517.5607,519.937,200,1.0,104446.99959999998,-475.26000000000295,1.8,-477.0600000000029,-0.004608734782219776,-0.004567484004586025,-2.3853000000000146,stop_or_reverse
B,13,2025-04-11,2025-04-11 13:00:00,2025-04-11 13:30:00,1,528.7863,526.8027,200,1.0,104446.99959999998,-396.7200000000048,1.8,-398.52000000000476,-0.003768251938448526,-0.0038155236773312236,-1.9926000000000237,stop_or_reverse
B,14,2025-04-11,2025-04-11 14:00:00,2025-04-11 15:00:00,1,531.6697,529.1342,200,1.0,104446.99959999998,-507.100000000014,1.8,-508.90000000001396,-0.004785866111986577,-0.004872327610644107,-2.54450000000007,stop_or_reverse
B,15,2025-04-11,2025-04-11 15:30:00,2025-04-11 16:00:00,1,531.441,530.8942,200,1.0,104446.99959999998,-109.36000000001513,1.8,-111.16000000001515,-0.0010458357559918706,-0.0010642718357226526,-0.5558000000000757,session_close
B,16,2025-04-21,2025-04-21 11:30:00,2025-04-21 13:30:00,-1,510.1432,507.0013,200,1.0,102951.35959999997,628.3799999999928,1.8,626.5799999999928,0.006141216819120521,0.006086175087288434,3.132899999999964,stop_or_reverse
B,17,2025-04-21,2025-04-21 14:00:00,2025-04-21 14:30:00,-1,506.0935,507.031,200,1.0,102951.35959999997,-187.5,1.8,-189.29999999999998,-0.0018702077778118074,-0.0018387323949435248,-0.9464999999999999,stop_or_reverse
B,18,2025-04-21,2025-04-21 15:00:00,2025-04-21 15:30:00,-1,505.8677,507.5083,200,1.0,102951.35959999997,-328.12000000000126,1.8,-329.9200000000012,-0.0032609316625671217,-0.0032046201359734283,-1.649600000000006,stop_or_reverse
