model,trade_id,date,timestamp,signal_timestamp,source_timestamp,price_source_timestamp,action,order_side,direction,price,upper,lower,noise_sigma,noise_count,vwap_approx,long_stop,short_stop,shares,sizing_leverage,execution_notional_leverage,gross_pnl,commission,slippage,costs,net_pnl,reason
C,1,2025-04-02,2025-04-02 11:30:00,2025-04-02 11:30:00,2025-04-02 11:00:00,2025-04-02 11:00:00,ENTRY,BUY,1,560.0867,559.5486438128803,553.6124659559202,0.003189207828893267,14.0,557.4300935790885,559.5486438128803,553.6124659559202,302,1.6819329299852241,1.6914618339999998,0.0,1.057,0.302,1.359,-1.359,entry
C,1,2025-04-02,2025-04-02 12:00:00,2025-04-02 12:00:00,2025-04-02 11:30:00,2025-04-02 11:30:00,EXIT,SELL,1,559.1322,560.00378763003,553.1592692120294,0.004005214391367061,14.0,557.7299880351084,560.00378763003,553.1592692120294,302,1.6819329299852241,1.6885792440000003,-288.2589999999816,1.057,0.302,1.359,-289.61799999998163,stop_or_reverse
C,2,2025-04-02,2025-04-02 12:30:00,2025-04-02 12:30:00,2025-04-02 12:00:00,2025-04-02 12:00:00,ENTRY,BUY,1,561.1009,559.9278813759963,553.2348507444435,0.0038691255352946313,14.0,558.1063537794519,559.9278813759963,553.2348507444435,302,1.6819329299852241,1.694524718,0.0,1.057,0.302,1.359,-1.359,entry
C,2,2025-04-02,2025-04-02 14:30:00,2025-04-02 14:30:00,2025-04-02 14:00:00,2025-04-02 14:00:00,EXIT,SELL,1,557.7998,560.2143381392553,552.9496194230833,0.004382700783110228,14.0,559.3122613011135,560.2143381392553,552.9496194230833,302,1.6819329299852241,1.684555396,-996.9322000000059,1.057,0.302,1.359,-998.2912000000059,stop_or_reverse
C,3,2025-04-03,2025-04-03 10:30:00,2025-04-03 10:30:00,2025-04-03 10:00:00,2025-04-03 10:00:00,ENTRY,SELL,-1,539.8726,562.4234100693784,539.9576542499208,0.002002335775069229,14.0,540.5717226977987,562.4234100693784,539.9576542499208,323,1.7745187617726503,1.7665885706043105,0.0,1.1305,0.323,1.4535,-1.4535,entry
C,3,2025-04-03,2025-04-03 12:00:00,2025-04-03 12:00:00,2025-04-03 11:30:00,2025-04-03 11:30:00,EXIT,BUY,-1,540.499,563.6589550206911,538.766702759668,0.00420355803041182,14.0,539.6940927775981,563.6589550206911,538.766702759668,323,1.7745187617726503,1.7686382969297925,-202.32719999999665,1.1305,0.323,1.4535,-203.78069999999667,stop_or_reverse
C,4,2025-04-03,2025-04-03 14:30:00,2025-04-03 14:30:00,2025-04-03 14:00:00,2025-04-03 14:00:00,ENTRY,SELL,-1,537.6603,563.8129342915538,538.6182809301691,0.004477884429887891,14.0,539.7735395568516,563.8129342915538,538.6182809301691,323,1.7745187617726503,1.759349411041947,0.0,1.1305,0.323,1.4535,-1.4535,entry
C,4,2025-04-03,2025-04-03 15:00:00,2025-04-03 15:00:00,2025-04-03 14:30:00,2025-04-03 14:30:00,EXIT,BUY,-1,538.7093,564.3898050739659,538.062230648658,0.005505625916228218,14.0,539.697693686592,564.3898050739659,538.062230648658,323,1.7745187617726503,1.7627819827460192,-338.82699999999295,1.1305,0.323,1.4535,-340.2804999999929,stop_or_reverse
C,5,2025-04-03,2025-04-03 15:30:00,2025-04-03 15:30:00,2025-04-03 15:00:00,2025-04-03 15:00:00,ENTRY,SELL,-1,536.1142,564.5239434345253,537.9329336285548,0.005744604145425737,14.0,539.37496063551,564.5239434345253,537.9329336285548,323,1.7745187617726503,1.7542902126514168,0.0,1.1305,0.323,1.4535,-1.4535,entry
C,5,2025-04-03,2025-04-03 16:00:00,2025-04-03 16:00:00,2025-04-03 15:30:00,2025-04-03 16:00:00,EXIT,BUY,-1,533.6384,564.9584280874507,537.5141304564454,0.006518673341862592,14.0,537.86789182791,564.9584280874507,537.5141304564454,323,1.7745187617726503,1.7461888198726352,799.6833999999792,1.1305,0.323,1.4535,798.2298999999792,session_close
