date,open_proxy,observed_close,anchor_available_at,scheduled_close,close,previous_close,spy_return,spy_vol_prior14,prior_sessions,eligible
2025-03-13,549.9453,546.6305,2025-03-13 10:00:00,2025-03-13 16:00:00,546.6305,554.0158,-0.013330486242450146,0.012444561820587969,0,False
2025-03-14,552.0728,557.9216,2025-03-14 10:00:00,2025-03-14 16:00:00,557.9216,546.6305,0.020655817778188368,0.012229352467698225,1,False
2025-03-17,560.5039,562.2239,2025-03-17 10:00:00,2025-03-17 16:00:00,562.2239,557.9216,0.007711298505022723,0.014153172976969115,2,False
2025-03-18,555.8831,556.1472,2025-03-18 10:00:00,2025-03-18 16:00:00,556.1471,562.2239,-0.010808505294776616,0.014497245545157184,3,False
2025-03-19,559.2103,562.204,2025-03-19 10:00:00,2025-03-19 16:00:00,562.204,556.1471,0.010890823668773919,0.014588105604683639,4,False
2025-03-20,561.6885,560.5782,2025-03-20 10:00:00,2025-03-20 16:00:00,560.5783,562.204,-0.0028916549864460572,0.014664780645023153,5,False
2025-03-21,556.7365,560.7628,2025-03-21 10:00:00,2025-03-21 16:00:00,560.7626,560.5783,0.0003287676315690824,0.013749706653423469,6,False
2025-03-24,569.5275,570.8052,2025-03-24 10:00:00,2025-03-24 16:00:00,570.8049,560.7626,0.017908291316146796,0.01315860371404515,7,False
2025-03-25,571.4266,572.1773,2025-03-25 10:00:00,2025-03-25 16:00:00,572.1771,570.8049,0.002403973757057809,0.013859669208223948,8,False
2025-03-26,570.2513,565.3465,2025-03-26 10:00:00,2025-03-26 16:00:00,565.3463,572.1771,-0.011938261772447611,0.013535642876642573,9,False
2025-03-27,565.093,563.8452,2025-03-27 10:00:00,2025-03-27 16:00:00,563.8449,565.3463,-0.002655717389500878,0.013050755520402448,10,False
2025-03-28,559.8779,552.4902,2025-03-28 10:00:00,2025-03-28 16:00:00,552.4901,563.8449,-0.02013816210805497,0.012953426017976485,11,False
2025-03-31,546.5891,556.199,2025-03-31 10:00:00,2025-03-31 16:00:00,556.1988,552.4901,0.006712699467375183,0.012041296280338946,12,False
2025-04-01,554.0215,557.77,2025-04-01 10:00:00,2025-04-01 16:00:00,557.7698,556.1988,0.002824529646594076,0.011946007196912047,13,False
2025-04-02,555.3837,561.2997,2025-04-02 10:00:00,2025-04-02 16:00:00,561.2995,557.7698,0.006328237921809254,0.011891080579637442,14,True
2025-04-03,541.041,533.6384,2025-04-03 10:00:00,2025-04-03 16:00:00,533.6382,561.2995,-0.049280820667041314,0.011270661336948085,15,True
2025-04-04,519.9768,502.3976,2025-04-04 10:00:00,2025-04-04 16:00:00,502.3975,533.6382,-0.058542847944543674,0.016587774175811414,16,True
2025-04-07,492.6188,501.5028,2025-04-07 10:00:00,2025-04-07 16:00:00,501.5026,502.3975,-0.0017812588637483584,0.021887854182283457,17,True
2025-04-08,520.0563,493.6479,2025-04-08 10:00:00,2025-04-08 16:00:00,493.6476,501.5026,-0.01566292976347472,0.021924572129974205,18,True
2025-04-09,497.3466,545.4904,2025-04-09 10:00:00,2025-04-09 16:00:00,545.4902,493.6476,0.10501945112262256,0.021387599503885205,19,True
2025-04-10,525.8864,521.5876,2025-04-10 10:00:00,2025-04-10 16:00:00,521.5873,545.4902,-0.04381911902358637,0.037297010896694176,20,True
2025-04-11,522.1464,530.8942,2025-04-11 10:00:00,2025-04-11 16:00:00,530.894,521.5873,0.017843034138292913,0.03897548406732831,21,True
2025-04-14,537.5858,536.0446,2025-04-14 10:00:00,2025-04-14 16:00:00,536.0444,530.894,0.00970137164857765,0.03897260530245326,22,True
2025-04-15,538.3414,534.5432,2025-04-15 10:00:00,2025-04-15 16:00:00,534.543,536.0444,-0.002800887389178941,0.03912024443657424,23,True
2025-04-16,526.6883,522.6614,2025-04-16 10:00:00,2025-04-16 16:00:00,522.6612,534.543,-0.022227959210016746,0.03905299897906832,24,True
2025-04-17,525.6442,523.4071,2025-04-17 10:00:00,2025-04-17 16:00:00,523.4069,522.6612,0.001426736861278366,0.03937699555099801,25,True
2025-04-21,514.4386,510.9486,2025-04-21 10:00:00,2025-04-21 16:00:00,510.9484,523.4069,-0.023802704931860763,0.03914782601299672,26,True
2025-04-22,518.9427,524.2423,2025-04-22 10:00:00,2025-04-22 16:00:00,524.2421,510.9484,0.026017695720350842,0.03940444236760609,27,True
2025-04-23,541.036,532.3657,2025-04-23 10:00:00,2025-04-23 16:00:00,532.3655,524.2421,0.015495512474102968,0.04025257157345018,28,True
2025-04-24,536.4012,543.5714,2025-04-24 10:00:00,2025-04-24 16:00:00,543.5712,532.3655,0.021048884647859367,0.04050177356619374,29,True
