date,rows,volume_sum,closing_print,daily_volume,volume_difference,daily_close,close_difference,early_close
2025-03-13,14,77456149,546.6305,74079416,3376733,546.6305,0.0,False
2025-03-14,14,62660320,557.9216,62660320,0,557.9216,0.0,False
2025-03-17,14,49008708,562.2239,49008708,0,562.2239,0.0,False
2025-03-18,14,66041424,556.1472,66041424,0,556.1471,9.999999997489795e-05,False
2025-03-19,14,66555984,562.204,66555984,0,562.204,0.0,False
2025-03-20,14,62958196,560.5782,62958196,0,560.5783,-9.999999997489795e-05,False
2025-03-21,14,83762960,560.7628,83762960,0,560.7626,0.0001999999999497959,False
2025-03-24,14,58766796,570.8052,58766796,0,570.8049,0.0003000000000383807,False
2025-03-25,14,38355736,572.1773,38355736,0,572.1771,0.0001999999999497959,False
2025-03-26,14,52228896,565.3465,52228896,0,565.3463,0.0001999999999497959,False
2025-03-27,14,42164248,563.8452,42164248,0,563.8449,0.00029999999992469384,False
2025-03-28,14,71662656,552.4902,71662656,0,552.4901,9.999999997489795e-05,False
2025-03-31,14,95328216,556.199,95328216,0,556.1988,0.0001999999999497959,False
2025-04-01,14,54609640,557.77,54609640,0,557.7698,0.0001999999999497959,False
2025-04-02,14,76014544,561.2997,76014544,0,561.2995,0.00020000000006348273,False
2025-04-03,14,125986000,533.6384,125986000,0,533.6382,0.00020000000006348273,False
2025-04-04,14,217965136,502.3976,217965136,0,502.3975,0.00010000000003174137,False
2025-04-07,14,256611360,501.5028,256611360,0,501.5026,0.0002000000000066393,False
2025-04-08,14,165816576,493.6479,165816576,0,493.6476,0.00029999999998153726,False
2025-04-09,14,241867312,545.4904,241867312,0,545.4902,0.00020000000006348273,False
2025-04-10,14,162331232,521.5876,162331232,0,521.5873,0.00029999999992469384,False
2025-04-11,14,97866336,530.8942,97866336,0,530.894,0.0001999999999497959,False
2025-04-14,14,68033992,536.0446,68033992,0,536.0444,0.0001999999999497959,False
2025-04-15,14,56892872,534.5432,56892872,0,534.543,0.0001999999999497959,False
2025-04-16,14,83484816,522.6614,83484816,0,522.6612,0.0001999999999497959,False
2025-04-17,14,40044740,523.4071,79868080,-39823340,523.4069,0.00020000000006348273,False
2025-04-21,14,69368128,510.9486,69368128,0,510.9484,0.0002000000000066393,False
2025-04-22,14,75948120,524.2423,75948120,0,524.2421,0.0001999999999497959,False
2025-04-23,14,61312864,532.3657,90590656,-29277792,532.3655,0.0001999999999497959,False
2025-04-24,14,64150416,543.5714,64150416,0,543.5712,0.00020000000006348273,False
2025-04-25,14,37455103,547.4989,61119592,-23664489,547.4987,0.00020000000006348273,False
2025-04-28,14,47613756,547.7077,47613756,0,547.7075,0.00020000000006348273,False
2025-04-29,14,47775120,551.1579,47775120,0,551.1577,0.00020000000006348273,False
2025-04-30,14,93101464,551.3766,93101464,0,551.3764,0.00020000000006348273,False
2025-05-01,14,63186144,555.2842,63186144,0,555.284,0.00020000000006348273,False
2025-05-02,14,60717272,563.527,60717272,0,563.5267,0.0003000000000383807,False
2025-05-05,14,38659224,560.2955,38659224,0,560.2953,0.0001999999999497959,False
2025-05-06,14,48264708,555.6123,48264708,0,555.6121,0.0001999999999497959,False
2025-05-07,14,55733228,557.949,55733228,0,557.9487,0.00029999999992469384,False
2025-05-08,14,65130788,561.8366,65130788,0,561.8364,0.0001999999999497959,False
2025-05-09,14,24629063,561.1208,37603428,-12974365,561.1205,0.0003000000000383807,False
2025-05-12,14,78993568,579.6644,78993568,0,579.6641,0.0003000000000383807,False
2025-05-13,14,67947224,583.4924,67947224,0,583.4922,0.0001999999999497959,False
2025-05-14,14,66283532,584.2382,66283532,0,584.2379,0.0003000000000383807,False
2025-05-15,14,71268144,587.0917,71268144,0,587.0915,0.0001999999999497959,False
2025-05-16,14,76052104,590.8104,76052104,0,590.8102,0.0001999999999497959,False
2025-05-19,14,68168512,591.4567,68168512,0,591.4565,0.0001999999999497959,False
2025-05-20,14,60614492,589.4681,60614492,0,589.4679,0.00020000000006348273,False
2025-05-21,14,95197656,579.5351,95197656,0,579.5349,0.00020000000006348273,False
2025-05-22,14,70860416,579.7638,70860416,0,579.7635,0.00029999999992469384,False
2025-05-23,14,76029048,575.8065,76029048,0,575.8063,0.00020000000006348273,False
2025-05-27,14,72588472,587.7778,72588472,0,587.7776,0.0001999999999497959,False
2025-05-28,14,68445512,584.3773,68445512,0,584.3771,0.0001999999999497959,False
2025-05-29,14,70073760,586.6841,70073760,0,586.6838,0.00029999999992469384,False
2025-05-30,14,90601240,586.0278,90601240,0,586.0276,0.0001999999999497959,False
2025-06-02,14,61630504,589.3289,61630504,0,589.3287,0.0001999999999497959,False
2025-06-03,14,63606204,592.6896,63606204,0,592.6894,0.00020000000006348273,False
2025-06-04,14,57314200,592.5305,57314200,0,592.5303,0.0001999999999497959,False
2025-06-05,14,92436400,589.6669,92436400,0,589.6667,0.00020000000006348273,False
2025-06-06,14,66588744,595.7222,66588744,0,595.722,0.00020000000006348273,False
2025-06-09,14,53016416,596.2592,53016416,0,596.2589,0.00029999999992469384,False
2025-06-10,14,66246972,599.6398,66246972,0,599.6395,0.0003000000000383807,False
2025-06-11,14,73658224,597.9296,73658224,0,597.9293,0.0003000000000383807,False
2025-06-12,14,64129004,600.3059,64129004,0,600.3057,0.0001999999999497959,False
2025-06-13,14,89506000,593.5944,89506000,0,593.5942,0.0001999999999497959,False
